model,GPU,network,images,time,FPS
YOLO X Tiny,GPU,none,128,3.15,40.6349206
YOLO X Tiny,GPU,wireless,128,6.7,19.10447761
YOLO X Tiny,GPU,wired,128,6.5,19.6923077
YOLO X Tiny,CPU,wireless,128,11,11.63636364
YOLO X Tiny,CPU,none,128,7.99,16.020025
,,,,,
YOLO X Tiny,CPU,wired,128,11.25,11.3777778
,,,,,
YOLO X Tiny,GPU,wireless,128,15,8.53333333
,,,,,
YOLO X Tiny,CPU,wireless,128,20,6.4
,,,,,
YOLO X Large,CPU,none,128,60.55,2.12
,,,,,
YOLO X Large,GPU,none,128,6.53,19.6
,,,,,
YOLO X Large,GPU,wireless,128,10.5,12.19
,,,,,
YOLO X Large,CPU,wireless,128,87,1.47
,,,,,
YOLO X Medium,CPU,none,128,33.99,3.76
,,,,,
YOLO X Medium,GPU,none,128,5.7,22.45
,,,,,
YOLO X Medium,CPU,wireless,128,52.55,2.43
,,,,,
YOLO X Medium,GPU,wireless,128,8.8,14.54
,,,,,
YOLO X Small,CPU,none,128,17.09,7.48
,,,,,
YOLO X Small,GPU,none,128,4.9,26.12
,,,,,
YOLO X Small,CPU,wireless,128,26.33,4.86
,,,,,
YOLO X Small,GPU,wireless,128,7.7,16.62